SLy4 (TOV)  M1 =    1.40080e+00  R1 =    1.15988e+06  om0 =    1.09158e+04  Ebind =    4.46654e+53
        r,             rho,           pr,           grav,           m(r),         Gam1,          csq,          bruntsq,         nn,            np,            ne,           nmu,           mun,            mup,          mue,           mumu
    6.72731e+03    9.85241e+14    1.35990e+35    1.85267e+12    6.31690e-07    2.54936e+00    3.51880e+20    1.15694e+01    4.97296e+38    4.09996e+37    2.66070e+37    1.43926e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
    6.84330e+03    9.85240e+14    1.35989e+35    1.88461e+12    6.64929e-07    2.54936e+00    3.51879e+20    1.19718e+01    4.97295e+38    4.09995e+37    2.66069e+37    1.43926e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
    6.95928e+03    9.85239e+14    1.35989e+35    1.91656e+12    6.99315e-07    2.54936e+00    3.51879e+20    1.23811e+01    4.97295e+38    4.09995e+37    2.66069e+37    1.43926e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
    7.07527e+03    9.85238e+14    1.35989e+35    1.94850e+12    7.34866e-07    2.54936e+00    3.51878e+20    1.27972e+01    4.97294e+38    4.09995e+37    2.66069e+37    1.43926e+37    1.89762e-03    1.60563e-03    2.91991e-04    2.91991e-04
    7.19126e+03    9.85237e+14    1.35988e+35    1.98044e+12    7.71603e-07    2.54936e+00    3.51878e+20    1.32203e+01    4.97294e+38    4.09994e+37    2.66069e+37    1.43925e+37    1.89762e-03    1.60563e-03    2.91991e-04    2.91991e-04
    7.30725e+03    9.85236e+14    1.35988e+35    2.01238e+12    8.09543e-07    2.54936e+00    3.51877e+20    1.36502e+01    4.97294e+38    4.09994e+37    2.66068e+37    1.43925e+37    1.89762e-03    1.60563e-03    2.91991e-04    2.91991e-04
    7.42324e+03    9.85235e+14    1.35987e+35    2.04432e+12    8.48707e-07    2.54936e+00    3.51877e+20    1.40870e+01    4.97293e+38    4.09993e+37    2.66068e+37    1.43925e+37    1.89762e-03    1.60562e-03    2.91991e-04    2.91991e-04
    7.53922e+03    9.85234e+14    1.35987e+35    2.07626e+12    8.89115e-07    2.54936e+00    3.51876e+20    1.45306e+01    4.97293e+38    4.09993e+37    2.66068e+37    1.43925e+37    1.89761e-03    1.60562e-03    2.91991e-04    2.91991e-04
    7.65521e+03    9.85232e+14    1.35987e+35    2.10820e+12    9.30785e-07    2.54936e+00    3.51876e+20    1.49812e+01    4.97292e+38    4.09992e+37    2.66068e+37    1.43925e+37    1.89761e-03    1.60562e-03    2.91991e-04    2.91991e-04
    7.77120e+03    9.85231e+14    1.35986e+35    2.14014e+12    9.73737e-07    2.54937e+00    3.51875e+20    1.54386e+01    4.97292e+38    4.09992e+37    2.66067e+37    1.43924e+37    1.89761e-03    1.60562e-03    2.91991e-04    2.91991e-04
    7.88719e+03    9.85230e+14    1.35986e+35    2.17208e+12    1.01799e-06    2.54937e+00    3.51875e+20    1.59029e+01    4.97291e+38    4.09991e+37    2.66067e+37    1.43924e+37    1.89761e-03    1.60562e-03    2.91991e-04    2.91991e-04
    8.00318e+03    9.85229e+14    1.35985e+35    2.20403e+12    1.06356e-06    2.54937e+00    3.51874e+20    1.63741e+01    4.97291e+38    4.09991e+37    2.66067e+37    1.43924e+37    1.89761e-03    1.60562e-03    2.91991e-04    2.91991e-04
    8.11917e+03    9.85228e+14    1.35985e+35    2.23597e+12    1.11048e-06    2.54937e+00    3.51874e+20    1.68521e+01    4.97290e+38    4.09990e+37    2.66067e+37    1.43924e+37    1.89761e-03    1.60562e-03    2.91991e-04    2.91991e-04
    8.23515e+03    9.85226e+14    1.35984e+35    2.26791e+12    1.15875e-06    2.54937e+00    3.51873e+20    1.73371e+01    4.97290e+38    4.09990e+37    2.66066e+37    1.43923e+37    1.89761e-03    1.60562e-03    2.91990e-04    2.91990e-04
    8.35114e+03    9.85225e+14    1.35984e+35    2.29985e+12    1.20841e-06    2.54937e+00    3.51872e+20    1.78289e+01    4.97289e+38    4.09989e+37    2.66066e+37    1.43923e+37    1.89761e-03    1.60562e-03    2.91990e-04    2.91990e-04
    8.46713e+03    9.85224e+14    1.35984e+35    2.33179e+12    1.25946e-06    2.54937e+00    3.51872e+20    1.83276e+01    4.97288e+38    4.09989e+37    2.66066e+37    1.43923e+37    1.89761e-03    1.60562e-03    2.91990e-04    2.91990e-04
    8.58312e+03    9.85223e+14    1.35983e+35    2.36373e+12    1.31193e-06    2.54937e+00    3.51871e+20    1.88332e+01    4.97288e+38    4.09988e+37    2.66065e+37    1.43923e+37    1.89761e-03    1.60562e-03    2.91990e-04    2.91990e-04
    8.69911e+03    9.85221e+14    1.35983e+35    2.39567e+12    1.36584e-06    2.54937e+00    3.51871e+20    1.93456e+01    4.97287e+38    4.09988e+37    2.66065e+37    1.43922e+37    1.89761e-03    1.60562e-03    2.91990e-04    2.91990e-04
    8.81509e+03    9.85220e+14    1.35982e+35    2.42761e+12    1.42120e-06    2.54937e+00    3.51870e+20    1.98649e+01    4.97287e+38    4.09987e+37    2.66065e+37    1.43922e+37    1.89761e-03    1.60562e-03    2.91990e-04    2.91990e-04
    8.93108e+03    9.85219e+14    1.35982e+35    2.45955e+12    1.47804e-06    2.54937e+00    3.51869e+20    2.03912e+01    4.97286e+38    4.09986e+37    2.66064e+37    1.43922e+37    1.89761e-03    1.60562e-03    2.91990e-04    2.91990e-04
    9.04707e+03    9.85217e+14    1.35981e+35    2.49149e+12    1.53637e-06    2.54937e+00    3.51869e+20    2.09242e+01    4.97286e+38    4.09986e+37    2.66064e+37    1.43922e+37    1.89760e-03    1.60561e-03    2.91990e-04    2.91990e-04
    9.16306e+03    9.85216e+14    1.35981e+35    2.52343e+12    1.59623e-06    2.54938e+00    3.51868e+20    2.14642e+01    4.97285e+38    4.09985e+37    2.66064e+37    1.43921e+37    1.89760e-03    1.60561e-03    2.91990e-04    2.91990e-04
    9.27905e+03    9.85215e+14    1.35980e+35    2.55537e+12    1.65761e-06    2.54938e+00    3.51868e+20    2.20111e+01    4.97284e+38    4.09985e+37    2.66063e+37    1.43921e+37    1.89760e-03    1.60561e-03    2.91989e-04    2.91989e-04
    9.39503e+03    9.85213e+14    1.35980e+35    2.58731e+12    1.72055e-06    2.54938e+00    3.51867e+20    2.25648e+01    4.97284e+38    4.09984e+37    2.66063e+37    1.43921e+37    1.89760e-03    1.60561e-03    2.91989e-04    2.91989e-04
    9.51102e+03    9.85212e+14    1.35979e+35    2.61925e+12    1.78506e-06    2.54938e+00    3.51866e+20    2.31254e+01    4.97283e+38    4.09983e+37    2.66063e+37    1.43921e+37    1.89760e-03    1.60561e-03    2.91989e-04    2.91989e-04
    9.62701e+03    9.85210e+14    1.35979e+35    2.65119e+12    1.85117e-06    2.54938e+00    3.51866e+20    2.36929e+01    4.97283e+38    4.09983e+37    2.66062e+37    1.43920e+37    1.89760e-03    1.60561e-03    2.91989e-04    2.91989e-04
    9.74300e+03    9.85209e+14    1.35978e+35    2.68313e+12    1.91889e-06    2.54938e+00    3.51865e+20    2.42673e+01    4.97282e+38    4.09982e+37    2.66062e+37    1.43920e+37    1.89760e-03    1.60561e-03    2.91989e-04    2.91989e-04
    9.85899e+03    9.85207e+14    1.35978e+35    2.71507e+12    1.98823e-06    2.54938e+00    3.51864e+20    2.48485e+01    4.97281e+38    4.09982e+37    2.66062e+37    1.43920e+37    1.89760e-03    1.60561e-03    2.91989e-04    2.91989e-04
